,제목,가사
24,꼬까신,개나리 노오란 꽃 그늘 아래  가지런히 놓여 있는 꼬까신 하나  아기는 살짝 신벗어 놓고  맨발로 한들 한들 나들이 갔나  가지런히 가다리는 꼬까신 하나
25,꼬마눈사람,한겨울에 밀짚모자 꼬마 눈사람  눈썹이 우습구나 코도 비뚤고  거울을 보여줄까 꼬마 눈사람
26,꼬마자동차 붕붕,붕붕붕 아주 작은 자동차  꼬마 자동차가 나왔다  붕붕붕 꽃향기를 맡으면  힘이 솟는 꼬마 자동차  엄마 찾아 모험 찾아  나서는 세계 여행  우리도 함께 가지요  꼬마차가 나가신다 길을 비켜라  꼬마차가 나가신다 길을 비켜라  랄랄랄라 랄랄랄라  귀여운 꼬마차와 친구와 함께  어렵고 험한 길 헤쳐나간다  희망과 사랑을 심어주면서  아하 신나게 달린다  귀여운 꼬마 자동차 (붕붕!)
27,꼬부랑 할머니,꼬부랑 할머니가 꼬부랑 고갯길을  꼬부랑 꼬부랑 넘어가고 있네  꼬부랑 꼬부랑 꼬부랑 꼬부랑  고개는 열두 고개 고개를 고개를 넘어간다
28,꼭꼭약속해,너하고 나는 친구 되어서  사이좋게 지내자  새끼손가락 고리 걸고  꼭꼭 약속해
29,꽃밭에서,아빠하고 나하고 만든 꽃밭에  채송화도 봉숭아도 한창입니다  아빠가 매어놓은 새끼줄 따라  나팔꽃도 어울리게 피었습니다
30,꿀밤나무 밑에서,커다란 꿀밤나무 밑에서  친구하고 나하고  정다웁게 얘기합시다  커다란 꿀밤나무 밑에서
31,꿀벌의 여행,윙윙 거칠고 험한 산을 날아가지요  윙윙 머나먼 나라까지 꽃을 찾아서  윙윙 조그만 날개 고단하여 너무 지쳤지만  윙윙 쉬지 않고 날아가지요  윙윙 거칠고 험한 산을 날아가지요  윙윙 머나먼 나라까지 꽃을 찾아서  야!야!야!
32,나는 숲 속의 음악가,나는 숲 속의 음악가 조그만 다람쥐  아주 익숙한 솜씨로 바이올린 켜지요  애애앵앵앵 애애앵앵앵 애애앵앵앵  애애앵앵앵 참 잘하지요
33,나란히 나란히,나란히 나란히 나란히  밥상 위에 젓가락이  나란히 나란히 나란히  댓돌 위에 신발들이  나란히 나란히 나란히  짐수레의 바퀴들이  나란히 나란히 나란히  학교길에 동무들이  나란히 나란히 나란히  나란히 나란히 나란히
34,나리나리,나리나리 개나리 입에따다 물고요  병아리떼 쫑쫑쫑 봄나들이 갑니다
35,나무의 노래,아침 햇살이 찾아들기 전  작은 소리로 노래하는 나무  아침 햇살이 찾아들면  가슴을 펴고 햇살을 흔들며 노래하는 나무  오늘은 날씨가 좋아요 햇살이 눈부셔요  우리집 나무가 노래부르면  이웃집 나무가 대답을 하고  탐스런 나뭇잎만큼 가득 열린 참새들  열린 참새만큼 고운노래 들려주는 나무  하늘에 그려지는 오선지엔 햇살한줌  내 노래 한 가락
36,나비야,나비야 나비야  이리 날아 오너라  노랑나비 흰 나비  춤을 추며 오너라  봄바람에 꽃잎도  방긋방긋 웃으며  참새도 짹짹짹  노래하며 춤춘다
37,나처럼 해봐요,나처럼 해봐요 요렇게  나처럼 해봐요 요렇게  나처럼 해봐요 요렇게  아이 참 재미있네
38,내동생,내 동생 곱슬머리 개구쟁이 내 동생  이름은 하나인데 별명은 서너개  엄마가 부를 때는 꿀돼지  아빠가 부를 때는 두꺼비  누나가 부를 때는 왕자님  어떤 게 진짜인지 몰라 몰라 몰라
39,넌 할 수 있어,넌 할 수 있어라고 말해주세요  넌 할 수 있어라고 말해주세요  그럼 우리는 무엇이든 할 수 있지요  짜증나고 힘든일도 신나게 할 수 있는  꿈이 크고 고운 마음이자라는 따뜻한 말  넌 할수 있어  큰 꿈이 열리는 나무가 될래요  더 없이 소중한 꿈을 이룰 꺼에요  넌 할수 있어
40,네 잎 클로버,깊고 작은 산골짜기 사이로  맑은 물 흐르는 작은 샘터에  예쁜 꽃들 사이에 살짝 숨겨진  이슬 먹고 피어난 네잎 클로버 랄랄라  한잎 랄랄라 두잎 랄랄라  세잎 랄랄라 네잎  행운을 가져다 준다는  수줍은 얼굴의 미소  한줄기의 따스한 햇살 받으며  희망으로 가득한 나의 친구야  빛처럼 밝은 마음으로  너를 닮고 싶어
41,누구하고 노나,꾀꼴꾀꼴 꾀꼬리 누구라고 노나  꾀꼴꾀꼴 꾀꼬리 꾀꼬리하고 놀지  개굴개굴 개구리 누구하고 노나  개굴개굴 개구리 개구리하고 놀지  방글방글 아기는 누구하고 노나  방글방글 아기는 엄마하고 놀지
42,눈,펄펄 눈이 옵니다  바람 타고 눈이 옵니다  하늘나라 선녀님들이  송이송이 하얀 솜을  자꾸자꾸 뿌려줍니다  자꾸자꾸 뿌려줍니다
43,눈꽃송이,송이송이 눈꽃송이 하얀꽃송이  하늘에서 내려오는 하얀꽃송이  나무에도 들판에도 동구밖에도  골고루 나부끼네 아름다워라
44,다람쥐,산골짝에 다람쥐 아기 다람쥐  도토리 점심가지고 소풍을 간다  다람쥐야 다람쥐야 재주나 한 번 넘으렴  파알딱 파알딱 팔딱 날도 참말 좋구나
45,달,달 달 무슨 달 쟁반같이 둥근 달  어디어디 떴나 남산 위에 떴지
46,달맞이,아가야 나오너라 달맞이 가자  앵두 따다 실에 꿰어 목에다 걸고  검둥개야 너도 가자 냇가로 가자  비단 물결 남실남실 어깨춤 추고  머리 감은 수양버들 거문고 타면  달밤에 소금쟁이 맴을 돈단다  아가야 나오너라 냇가로 가자  달밤에 달각달각 나막신 신고  도랑물 쫄랑쫄랑 달맞이 가자
47,닭,1. 귀여운 꼬마가 닭장에 가서  암탉을 잡으려다 놓쳤다네  닭장 밖에 있던 배고픈 여우  옳거니 하면서 물고갔다네  2. 꼬꼬댁 암탉 소리를 쳤네  꼬꼬댁 암탉 소리를 쳤네  귀여운 꼬마가 그 꼴을 보고  웃을까 울을까 망설였다네
48,당신은 누구시라고,당신은 누구시라고  나는 (예쁜이)  그 이름 아름답구나
49,도깨비 빤스,도깨비 빤스는 튼튼해요  질기고도 튼튼해요  호랑이 가죽으로 만들었어요  이천년 입어도 까딱없어요
50,도라지,도라지 도라지 백-도라지  심심 산천에 백도-라지  한 두-뿌리만 캐어도  대바구니 철-철철 다넘는다.  에-헤요 에-헤요 에헤-요  에야라 난다. 지화자-좋다.  얼씨구 좋구나 내사랑아
51,도레미 노래,도는 하얀 도화지  레는 둥근 레코드  미는 파란 미나리  파는 예쁜 파랑새  솔은 작은 솔방울  라는 라디오고요  시는 졸졸 시냇물  다 함께 부르자  도레미파솔라시도  도시라솔파미레  도미미 미솔솔  레파파 라시시  도미미 미솔솔  레파파 라시시  솔도 라파 미도레  솔도 라시 도레도  도레미파솔라시도솔도
52,도레미송,"Doe, a deer a female deer  Ray, a drop of golden sun  Me, a name I call myself  Far, a long long way to go  Sew, a needle pulling thread  La, a note to follow so  Tea, a drink with jam and bread  That will bring us back to do."
53,돌과 물,바윗돌 깨뜨려 돌덩이  돌덩이 깨뜨려 돌멩이  돌멩이 깨뜨려 자갈돌  자갈돌 깨뜨려 모래알  라라라라라 라라라  라라라라라 라라라  도랑물 모여서 개울물  개울물 모여서 시냇물  시냇물 모여서 큰 강물  큰 강물 모여서 바닷물  라라라라라 라라라  라라라라라 라라라
54,동네 한바퀴,다같이 돌자 동네 한바퀴  아침 일찍 일어나 동네 한바퀴  우리 보고 나팔꽃 인사합니다  우리도 인사하며 동네 한바퀴  바둑이도 같이 돌자 동네 한바퀴
55,동물농장,1. .닭장 속에는 암탉이(꼬꼬댁)  문간 옆에는 거위가 (꽥꽥)  배나무 밑엔 염소가(음메)외양간에는 송아지(음매)  오 히 야하 오 오오 오 히 야하 오 오  2. .깊은 산속엔 뻐꾸기(뻐꾹)  높은 하늘엔 종달새 (호르르)  부뚜막 위엔 고양이(야옹)  마루 밑에는 강아지(멍멍)
56,둘이 살짝,둘이 살짝 손 잡고  오른쪽으로 돌아요  둘이 살짝 손 잡고  왼쪽으로 돌아요  내 무릎 치고 네 어깨 치고  내 손뼉 치고 네 손뼉 치고  내 무릎 치고 네 어깨 치고  내 손뼉 치고 네 손뼉 치고  둘이 살짝 손 잡고  오른쪽으로 돌아요  둘이 살짝 손 잡고  왼쪽으로 돌아요
57,둥근해가 떴습니다,둥근 해가 떴습니다 자리에서 일어나서  제일 먼저 이를 닦자 윗니 아랫니 닦자  세수할 때는 깨끗이 이쪽 저쪽 목 닦고  머리 빗고 옷을 입고 거울을 봅니다  꼭꼭 씹어 밥을 먹고 가방 메고 인사하고  유치원에 갑니다 씩씩하게 갑니다
58,둥글게 둥글게,둥글게 둥글게 둥글게 둥글게  빙글빙글 돌아가며 춤을 춥시다  손뼉을 치면서 노래를 부르며  랄랄랄라 즐겁게 춤추자  링가링가 링가 링가링가링  링가링가 링가 링가링가링  손에 손을 잡고 모두 다함께  즐겁게 뛰어봅시다  둥글게 둥글게 둥글게 둥글게  빙글빙글 돌아가며 춤을 춥시다  손뼉을 치면서 노래를 부르며  랄랄랄라 즐겁게 춤추자
59,등대지기,얼어 붙은 달 그림자 물결 위에 자고  한 겨울의 거센파도 모으는 작은 섬  생각하라 저 등대를 지키는 사람을  거룩하고 아름다운 사랑의 마음을  얼어 붙은 달 그림자 물결 위에 자고  한 겨울의 거센파도 모으는 작은 섬  생각하라 저 등대를 지키는 사람을  거룩하고 아름다운 사랑의 마음을
60,똑같아요,무엇이 무엇이 똑같을까  젓가락 두짝이 똑같아요  I wonder I wonder what are the same  Two chopsticks in a set. They are the same
61,루돌프 사슴코,루돌프 사슴코는 매우 반짝이는 코  만일 네가 봤다면 불 붙는다 했겠지  다른 모든 사슴들 놀려대며 웃었네  가엾은 저 루돌프 외톨이가 되었네  안개 낀 성탄절날 산타 말하길  루돌프 코가 밝으니 썰매를 끌어주렴  그후론 사슴들이 그를 매우 사랑했네  루돌프 사슴코는 길이길이 기억되리
62,머리 어깨 무릎 발,머리 어깨 무릎 발 무릎 발  머리 어깨 무릎 발 무릎 발  머리 어깨 발 무릎 발  머리 어깨 무릎 입코 귀
63,머리어깨무릎발,머리 어깨 무릎 발 무릎 발  머리 어깨 무릎 발 무릎 발  머리 어깨 발 무릎 발  머리 어깨 무릎 귀 코 귀
64,모짜르트의 자장가,잘 자라 우리아가 앞뜰과 뒷동산에  새들도 아가양도 다들 자고 있는데  달님은 영창으로 은구슬 금구슬을  보내는 이 한밤 잘 자라 우리 아가 잘 자거라  온 누리는 고요히 잠들고  선반의 생쥐도 다들 자고 있는데  뒷방서 들려오는 재미난 이야기만  정막을 깨뜨리네 잘 자라 우리 아가 잘 자거라
65,밀과 보리가 자라네,밀과 보리가 자라네 밀과 보리가 자라네  밀과 보리가 자라는 것은 누구든지 알지요  농부가 씨를 뿌려 흙으로 덮은 후에  발로 밟고 손뼉치고 사방을 둘러 보네
66,바둑이 방울,딸랑딸랑 딸랑 딸랑딸랑 딸랑 바둑이 방울 잘도 울린다  학교길에 마중 나와서 반갑다고 꼬리치며 딸라온다  딸랑딸랑 딸랑 딸랑딸랑 딸랑 바둑이 방울 잘도 울린다  딸랑딸랑 딸랑 딸랑딸랑 딸랑 바둑이 방울 잘도 울린다  대문 삐걱 열어주면은 제가 먼저 달음질쳐 들어온다  딸랑딸랑 딸랑 딸랑딸랑 딸랑 바둑이 방울 잘도 울린다
67,밖으로 나가 놀자,밖으로 나가 놀자 시원한 바람 솔솔솔  밖으로 나가 놀자 해님은 방긋  그네뛰기 미끄럼은 재미나지요  숨바꼭질 말타기는 더 재미있죠  랄라랄라 랄라라 랄라라 랄라라  랄라랄라 랄라라 랄라 라라라라
68,반달,푸른 하늘 은하수 하얀 쪽배엔  계수나무 한 나무 토끼 한 마리  돛대도 아니 달고 삿대도 없이  가기도 잘도 간다 서쪽 나라로
69,병원놀이,여보세요 여보세요 배가 아파요  배 아프고 열이 나니 어떡할까요  어느 어느 병원에 가야 할까요
70,봄,엄마 엄마 이리 와 요것 보셔요  병아리떼 뿅뿅뿅뿅 놀고 간 뒤에  미나리 파란 싹이 돋아났어요  미나리 파란 싹이 돋아났어요
71,봄나들이,나리 나리 개나리  입에 따다 물고요  병아리 떼 쫑쫑쫑  봄나들이 갑니다
72,봄바람,솔솔 부는 봄바람 쌓인 눈 녹이고  잔디밭엔 새싹이 파릇파릇 나고요  시냇물은 졸졸졸 노래하며 흐르네
73,부엉 부엉새가 우는밤,부엉 부엉새가 우는밤  부엉 춥다고선 우는데  우리들은 할머니곁에  모두 옹기종이 앉아서  옛날 이야기를 듣지요.
74,비행기,떴다 떴다 비행기  날아라 날아라  높이 높이 날아라  우리 비행기
75,뽀뽀뽀,아빠가 출근할 때 뽀뽀뽀  엄마가 안아줘도 뽀뽀뽀  만나면 반갑다고 뽀뽀뽀  헤어질 땐 또 만나요 뽀뽀뽀  우리는 귀염둥이 뽀뽀뽀 친구  뽀뽀뽀 뽀뽀뽀 뽀뽀뽀 친구
76,사과 같은 내 얼굴,사과같은 내 얼굴 예쁘기도 하구나  눈도 반짝 코도 반짝 입도 반짝 반짝  오이같은 내 얼굴 길기도 하구나  눈도 길쭉 귀도 길쭉 코도 길쭉 길쭉  호박같은 내 얼굴 우습기도 하구나  눈도 둥글 귀도 둥글 입도 둥글 둥글
77,산 할아버지,산 할아버지 구름모자 썼네  나비같이 훨훨 날아서  살금살금 다가가서 구름모자 벗겨오지  이놈하고 물벼락 내리시네  천둥처럼 고함을 치시네  너무 놀라 뒤로 자빠졌네 하하하하 웃으시네  웃음소리에 고개 들어 보니  구름모자 어디로 갔나요  바람 결에 날려갔나요 뒷 춤에 감추셨나요
78,산중호걸,산중호걸이라 하는  호랑님의 생일날이 되어  각색 짐승 공원에 모여  무도회가 열렸네  토끼는 춤추고  여우는 바이올린  찐짠 찌가찌가 찐짠  찐짠찐짠 하더라  그 중에 한놈이  잘난 체하면서  까불 까불까불 까불  까불까불 하더라
79,산타할아버지 우리 마을에 오시네,울면안돼 울면안돼 산타할아버지는 우는애들엔  선물을 안주신대요.  산타할아버지는 알고계신대 누가 착한앤지 나쁜앤지  오늘 밤에 다녀가신대  잠잘때나 일어날 떄 짜증낼 때 장난할때도  산타할아버지는 모든 것을 알고 계신대  울면안돼 울면안돼 산타할아버지는 우리마을을  오늘밤에 다녀가신대.
80,산토끼,산토끼 토끼야 어디를 가느냐  깡충깡충 뛰면서 어디를 가느냐
81,새신,새신을 신고 뛰어보자 팔짝  머리가 하늘까지 닿겠네
82,새싹들이다,마음을 열어 하늘을 보라 넓고 높고 푸른하늘  가슴을 펴고 소리쳐보자 우리들은 새싹들이다  푸른꿈이 자란다 곱고 고운꿈 두리둥실 떠간다  구름이 되어 너른 벌판을 달려나가자 씩씩하게 나가자  어깨를 걸고 함께나가자 발맞춰 나가자  마음을 열어 하늘을 보라 넓고 높고 푸른하늘  가슴을 펴고 소리쳐보자 우리들은 새싹들이다  햇님 되자 달님 되자 별님이 되자  너른세상 불을 밝힐 큰빛이 되자  무지개 빛깔 아름다운꿈 모두 우리 차지다  너와 나 함께 우리가 되어 힘차게 나가자
83,생일 축하합니다,생일 축하합니다 생일 축하합니다  사랑하는 우리 아기 생일 축하합니다
84,섬집아기,엄마가 섬그늘에 굴 따러 가면  아기가 혼자 남아 집을 보다가  바다가 불러주는 자장 노래에  팔 베고 스르르 잠이 듭니다
85,솜사탕,나뭇가지에 실처럼 날아든 솜사탕  하얀 눈처럼 희고도 깨끗한 솜사탕  엄마 손 잡고 나들이 갈 때 먹어 본 솜사탕  훅훅 불면은 구멍이 뚫리는 커다란 솜사탕
86,송아지,송아지 송아지 얼룩송아지  엄마소도 얼룩소 엄마 닮았네
87,숲 속 작은 집(숲 속 초막 집),숲 속 초막집(작은집) 창가에  작은 아이가 섰는데  토끼 한마리가 뛰어와  문 두드리며 하는 말  날 좀 살려주세요  날 좀 살려주세요  날 살려주지 않으면  포수가 빵 쏜대요  작은 토끼야 들어와  편히 쉬어라
88,숲 속을 걸어요,2. 숲속을 걸어요 산새들이 속삭이는 길  숲속을 걸어요 꽃향기가 그윽한 길  햇님도 쉬었다 가는 길 다람쥐가 넘나드는 길  정다운 얼굴로 우리 모두 숲속을 걸어요  2. 숲속을 걸어요 맑은 바람 솔바람이는  숲속을 걸어요 도랑물이 노래하는 길  달님도 쉬었다 가는 길 산노루가 넘나드는 길  웃음띤 얼굴로 우리 모두 숲속을 걸어요
89,스와니강,"way down upon the swanee river.  Far far a way.  There's wha my heart is turning ever,  There's wha the old folks stay.  All up and down the whole creation sadly I roam,  Still longing for the old plantaton.  And for the old folks at home.  All the world are sad and dreary  Ev'ry were I roam.  Oh! darkeys how my heart grows weary.  Far from the old folks at home."
90,시계,시계는 아침부터 똑딱똑딱  시계는 아침부터 똑딱똑딱  언제나 같은 소리 똑딱똑딱  부지런히 일해요
91,시소,시소 시소  올라가면 푸른 하늘  내려오면 꽃동산  재미나는 시소
92,신데렐라,신데렐라는 어려서  부모님을 잃고요  계모와 언니들에게  놀림을 받았더래요  샤바샤바 아이 샤바  얼마나 울었을까  샤바샤바 아이 샤바  천구백팔십년대
93,싹트네,싹트네 싹터요 내 마음에 사랑이  싹트네 싹터요 내 마음에 사랑이  밀려오는 파도처럼 내 마음에 사랑이  싹트네 싹터요 내 마음에 사랑이
94,아기공룡 둘리,요리 보고 조리 봐도 음 알 수 없는 둘리 둘리  빙하 타고 내려와 음 친구를 만났지만  일억년 전 옛날이 너무나 그리워  보고픈 엄마 찾아 모두 함께 나가자 아 아  외로운 둘리는 귀여운 아기 공룡 (호이! 호이!)  둘리는 초능력 내 친구  외로운 둘리는 귀여운 아기 공룡 (호이! 호이!)  둘리는 초능력 재주꾼
95,아기다람쥐 또미,쪼로로롱 산새가 노래하는 숲 속에  예쁜 아기 다람쥐가 살고 있었어요  울창한 숲속 푸른 나무 위에서  아기 다람쥐 또미가 살고 있었어요  야호! 랄라 노래부르자  야호! 숲속의 아침을  야호! 트랄라 귀여운 아기 다람쥐또미
96,아기돼지,토실토실 아기돼지 젖달라고 꿀꿀꿀  엄마돼지 오냐오냐 알았다고 꿀꿀꿀  꿀꿀 꿀꿀 꿀꿀 꿀꿀  꿀꿀꿀꿀 꿀꿀꿀꿀 꿀꿀꿀꿀꿀  아기돼지 바깥으로 나가자고 꿀꿀꿀  엄마돼지 비가와서 안된다고 꿀꿀꿀
97,아기염소,파란 하늘 파란 하늘꿈이 드리운 푸른 언덕에  아기 염소 여럿이 풀을 뜯고 놀아요  해처럼 밝은 얼굴로  빗방울이 뚝뚝뚝뚝 떨어지는 날에는  잔뜩 찡그린 얼굴로  엄마 찾아 음매 아빠 찾아 음매 울상을 짓다가  해가 반짝 곱게 피어나면 너무나 기다렸나 봐  폴짝폴짝 콩콩콩 흔들흔들 콩콩콩  신나는 아기 염소들
98,아빠 힘내세요,딩동댕 초인종 소리에  얼른 문을 열었더니  그토록 기다리던 아빠가  문 앞에 서 계셨죠  너무나 반가워 웃으며  아빠하고 불렀는데  어쩐지 오늘 아빠의 얼굴이  우울해 보이네요  무슨일이 생겼나요  무슨 걱정 있나요  마음대로 안되는 일  오늘 있었나요  아빠 힘내세요 우리가 있잖아요  아빠 힘내세요 우리가 있어요~~
99,아빠는 엄마만 좋아해,아빠는 엄마만 좋아하고  엄마는 언제나 호호호  그런데 어느날 내 동생이  엄마와 아빠를 놀렸네  아빠 엄마가 오늘 화가 나서  아빠 오시면은 말도 안 한대요  그래도 아빠는 허허허허  아니다 엄마는 안 그래  아빠는 엄마의 그림자고  엄마는 아빠의 그림자  랄라 우리 아빠 랄라 우리 엄마  서로 사랑하고 서로 아낀대요  랄라 우리 아빠 랄라 우리 엄마  서로 사랑하고 서로 아낀대요  랄라 우리 아빠 랄라 우리 엄마  서로 사랑하고 서로 아낀대요
100,아빠와 크레파스,어제밤에 우리 아빠가 다정하신 모습으로  한 손에는 크레파스를 사가지고 오셨어요 으음  그릴 것은 너무 많은데 하얀 종이가 너무 작아서  아빠 얼굴 그리고 나니 잠이들고 말았어요 으음  밤새 꿈나라에 아기 코끼리가 춤을 추었고  크레파스 병정들은 나뭇잎을 타고 놀았죠 으음  어제밤엔 달빛도 아빠의 웃음처럼  나의 창에 기대어 포근히 날 재워줬어요 으음
101,아빠의 얼굴,어젯밤 꿈 속에 나는 나는 날개 달고  구름보다 더 높이 올라 올라갔지요  무지개 동산에서 놀고 있을 때  이리저리 나를 찾는 아빠의 얼굴
102,악어떼,정글 숲을 지나서 가자 엉금 엉금 기어서 가자  늪지대가 나타나면은 악어 떼가 나올라~ 악어떼
103,어린송아지,어린 송아지가 큰 솥 위에 앉아  울고 있어요  엄마 엄마 엉덩이가 뜨거워
